x,y,VBM,CBM,BandGap
1.0,1.0,-1.0427256251938313,0.7420165431101624,1.7847421683039937
2.0,1.0,-1.0423457647762002,0.7421177512591887,1.7844635160353888
3.0,1.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
4.0,1.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
5.0,1.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
6.0,1.0,-1.0425795290508841,0.7420567518402063,1.7846362808910903
7.0,1.0,-1.0423715540719607,0.742110997290091,1.7844825513620517
8.0,1.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
9.0,1.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
10.0,1.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
11.0,1.0,-1.041845547479828,0.7422494444297308,1.784094991909559
12.0,1.0,-1.0419779079667775,0.7422154477416448,1.7841933557084224
13.0,1.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
14.0,1.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
15.0,1.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
16.0,1.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
17.0,1.0,-1.0427264976542765,0.7420162786896279,1.7847427763439043
18.0,1.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
19.0,1.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
20.0,1.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
21.0,1.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
22.0,1.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
23.0,1.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
24.0,1.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
25.0,1.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
26.0,1.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
27.0,1.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
28.0,1.0,-1.0415885762616295,0.7422494521250833,1.7838380283867128
29.0,1.0,-1.0409079057913404,0.7422302646091284,1.783138170400469
30.0,1.0,-1.0410634684349416,0.7422346484313652,1.7832981168663067
31.0,1.0,-1.0406509351511974,0.7422230198577683,1.7828739550089656
32.0,1.0,-1.0404790355684868,0.7422181706580222,1.782697206226509
33.0,1.0,-1.0417071778968143,0.7422527891202133,1.7839599670170276
1.0,2.0,-1.0407153836177976,0.7422248404940189,1.7829402241118166
2.0,2.0,-1.0418713384343865,0.7422424324500797,1.784113770884466
3.0,2.0,-1.0425537552404769,0.7420634560906515,1.7846172113311285
4.0,2.0,-1.0429290687699833,0.7419502821019935,1.784879350871977
5.0,2.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
6.0,2.0,-1.0422400518762864,0.7421455739027232,1.7843856257790096
7.0,2.0,-1.0427608672361781,0.742005764326081,1.7847666315622592
8.0,2.0,-1.042966986196851,0.7419373398527555,1.7849043260496065
9.0,2.0,-1.0429228681230789,0.7419523950526193,1.7848752631756981
10.0,2.0,-1.042905715577839,0.741958229627777,1.784863945205616
11.0,2.0,-1.042905715577839,0.741958229627777,1.784863945205616
12.0,2.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
13.0,2.0,-1.0428029863033783,0.7419927537025877,1.784795740005966
14.0,2.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
15.0,2.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
16.0,2.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
17.0,2.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
18.0,2.0,-1.0429445794657606,0.7419450053122074,1.784889584777968
19.0,2.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
20.0,2.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
21.0,2.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
22.0,2.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
23.0,2.0,-1.0429445794657606,0.7419450053122074,1.784889584777968
24.0,2.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
25.0,2.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
26.0,2.0,-1.0429158509445644,0.741954784567618,1.7848706355121824
27.0,2.0,-1.0406483523919074,0.7422229463230304,1.7828712987149378
28.0,2.0,-1.042688691533452,0.7420278626123933,1.7847165541458452
29.0,2.0,-1.040630308771455,0.7422224300230659,1.7828527387945208
30.0,2.0,-1.0408812693472267,0.7422295216002206,1.7831107909474473
31.0,2.0,-1.0412379405811076,0.7422395586320663,1.783477499213174
32.0,2.0,-1.0409878375406685,0.7422325184382402,1.7832203559789086
33.0,2.0,-1.0407970431016984,0.7422271422714227,1.783024185373121
1.0,3.0,-1.0406741396906665,0.7422236667010337,1.7828978063917003
2.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
3.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
4.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
5.0,3.0,-1.0427711722481294,0.7420025865384615,1.7847737587865908
6.0,3.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
7.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
8.0,3.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
9.0,3.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
10.0,3.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
11.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
12.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
13.0,3.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
14.0,3.0,-1.0429445794657606,0.7419450053122074,1.784889584777968
15.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
16.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
17.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
18.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
19.0,3.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
20.0,3.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
21.0,3.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
22.0,3.0,-1.0427711722481294,0.7420025865384615,1.7847737587865908
23.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
24.0,3.0,-1.0429445794657606,0.7419450053122074,1.784889584777968
25.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
26.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
27.0,3.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
28.0,3.0,-1.0405383426934616,0.742219857050718,1.7827581997441797
29.0,3.0,-1.0408571976318015,0.742228839832258,1.7830860374640594
30.0,3.0,-1.040870938093815,0.7422292285320037,1.7831001666258186
31.0,3.0,-1.040677582872383,0.7422237812538962,1.7829013641262792
32.0,3.0,-1.0423405922952003,0.7421191134592781,1.7844597057544784
33.0,3.0,-1.042040622074861,0.7421985659317168,1.7842391880065778
1.0,4.0,-1.0425468806387586,0.7420652322264367,1.7846121128651953
2.0,4.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
3.0,4.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
4.0,4.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
5.0,4.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
6.0,4.0,-1.0429158509445644,0.741954784567618,1.7848706355121824
7.0,4.0,-1.042905715577839,0.741958229627777,1.784863945205616
8.0,4.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
9.0,4.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
10.0,4.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
11.0,4.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
12.0,4.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
13.0,4.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
14.0,4.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
15.0,4.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
16.0,4.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
17.0,4.0,-1.0423388781125948,0.7421195637421231,1.784458441854718
18.0,4.0,-1.0429445794657606,0.7419450053122074,1.784889584777968
19.0,4.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
20.0,4.0,-1.042905715577839,0.741958229627777,1.784863945205616
21.0,4.0,-1.0425477300087682,0.7420650226540026,1.7846127526627709
22.0,4.0,-1.0421360632443162,0.7421730922873065,1.7843091555316226
23.0,4.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
24.0,4.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
25.0,4.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
26.0,4.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
