0.00628,0.0107,0.00595,0.00415,0.00415,0.00798,0.0104,0.00388,0.00595,0.00595,0.01652,0.01498,0.00567,0.00388,0.00388,0.00567,0.00627,0.00388,0.00415,0.00567,0.00415,0.00388,0.00595,0.00595,0.00388,0.00388,0.00415,0.01951,0.02743,0.02562,0.03042,0.03242,0.01813
0.02967,0.01622,0.00828,0.00378,0.00595,0.01193,0.00587,0.00329,0.00386,0.00408,0.00408,0.00415,0.00538,0.00415,0.00415,0.00415,0.00388,0.00358,0.00388,0.00415,0.00567,0.00567,0.00358,0.00415,0.00415,0.00395,0.03045,0.00671,0.03066,0.02774,0.02359,0.0265,0.02872
0.03015,0.00388,0.00388,0.00388,0.00575,0.00415,0.00388,0.00567,0.00567,0.00415,0.00388,0.00388,0.00415,0.00358,0.00388,0.00388,0.00388,0.00388,0.00415,0.00415,0.00415,0.00575,0.00388,0.00358,0.00388,0.00388,0.00388,0.03173,0.02802,0.02786,0.03011,0.01076,0.01425
0.00836,0.00388,0.00388,0.00388,0.00415,0.00395,0.00408,0.00595,0.00567,0.00415,0.00388,0.00415,0.00567,0.00388,0.00415,0.00567,0.01078,0.00358,0.00415,0.00408,0.00835,0.01314,0.00595,0.00388,0.00388,0.00595,0.00835,0.00808,0.02692,0.03292,0.03292,0.03075,0.02866
0.02802,0.00415,0.00328,0.00415,0.00567,0.00595,0.0096,0.00415,0.00388,0.00388,0.0102,0.0105,0.00415,0.00388,0.00567,0.0104,0.01253,0.00647,0.00388,0.00415,0.00395,0.00625,0.00567,0.00567,0.00415,0.00388,0.00567,0.02977,0.02404,0.02627,0.00808,0.02489,0.03058
0.02522,0.00808,0.00388,0.00388,0.00415,0.00835,0.01233,0.00567,0.00388,0.00358,0.00808,0.00595,0.00415,0.00415,0.00388,0.00415,0.00388,0.00415,0.00388,0.00388,0.00595,0.00415,0.00415,0.00388,0.00395,0.00388,0.00538,0.03173,0.03066,0.02934,0.01702,0.02359,0.01714
0.02359,0.00989,0.00415,0.00388,0.00415,0.00415,0.00388,0.00388,0.00567,0.00595,0.00538,0.00388,0.00595,0.00415,0.00358,0.00415,0.00595,0.00567,0.00388,0.00388,0.00358,0.00575,0.00388,0.00395,0.00567,0.00415,0.00567,0.02612,0.014,0.02756,0.02404,0.02058,0.01715
0.01662,0.00415,0.00415,0.00388,0.00595,0.00388,0.00567,0.00388,0.00395,0.00408,0.00415,0.00567,0.00595,0.00415,0.00655,0.00595,0.00595,0.00415,0.00388,0.00388,0.00567,0.00395,0.00567,0.00395,0.00388,0.00567,0.00567,0.03302,0.03272,0.02781,0.02967,0.02903,0.02119
0.03272,0.00415,0.00415,0.00538,0.00567,0.00415,0.00388,0.00121,0.00567,0.00567,0.00567,0.00595,0.00567,0.00388,0.00358,0.00415,0.00567,0.00538,0.00567,0.00567,0.00358,0.01017,0.00835,0.00415,0.00388,0.00567,0.00835,0.00538,0.03058,0.0275,0.02502,0.01627,0.02528
0.01685,0.00567,0.00415,0.00388,0.00595,0.00388,0.00388,0.00388,0.00388,0.00415,0.00778,0.01078,0.00388,0.00388,0.00415,0.00595,0.00798,0.00655,0.00567,0.00388,0.00415,0.00388,0.00388,0.00358,0.00567,0.00567,0.00567,0.02562,0.03099,0.03128,0.02903,0.03323,0.0333
